series_code,category,price_type,adjustment_type,date,sales_value,price_flag,seasonal_adjusted,year,month,quarter
con_seas,,At constant prices,Seasonally adjusted values,2004-07-01,56535.0,Constant,False,2004,7,2004Q3
cur_act,,At current prices,Actual values,2004-07-01,28646.0,Current,False,2004,7,2004Q3
cur_seas,,At current prices,Seasonally adjusted values,2004-07-01,29821.0,Current,False,2004,7,2004Q3
con_act,,At constant prices,Actual values,2004-08-01,52436.0,Constant,False,2004,8,2004Q3
con_seas,,At constant prices,Seasonally adjusted values,2004-08-01,54739.0,Constant,False,2004,8,2004Q3
cur_act,,At current prices,Actual values,2004-08-01,27686.0,Current,False,2004,8,2004Q3
cur_seas,,At current prices,Seasonally adjusted values,2004-08-01,28873.0,Current,False,2004,8,2004Q3
con_act,,At constant prices,Actual values,2004-09-01,54925.0,Constant,False,2004,9,2004Q3
con_seas,,At constant prices,Seasonally adjusted values,2004-09-01,56845.0,Constant,False,2004,9,2004Q3
cur_act,,At current prices,Actual values,2004-09-01,29165.0,Current,False,2004,9,2004Q3
cur_seas,,At current prices,Seasonally adjusted values,2004-09-01,29783.0,Current,False,2004,9,2004Q3
con_act,,At constant prices,Actual values,2004-10-01,57116.0,Constant,False,2004,10,2004Q4
con_seas,,At constant prices,Seasonally adjusted values,2004-10-01,57346.0,Constant,False,2004,10,2004Q4
cur_act,,At current prices,Actual values,2004-10-01,30443.0,Current,False,2004,10,2004Q4
cur_seas,,At current prices,Seasonally adjusted values,2004-10-01,30337.0,Current,False,2004,10,2004Q4
con_act,,At constant prices,Actual values,2004-11-01,59938.0,Constant,False,2004,11,2004Q4
con_seas,,At constant prices,Seasonally adjusted values,2004-11-01,57095.0,Constant,False,2004,11,2004Q4
cur_act,,At current prices,Actual values,2004-11-01,32127.0,Current,False,2004,11,2004Q4
cur_seas,,At current prices,Seasonally adjusted values,2004-11-01,30349.0,Current,False,2004,11,2004Q4
con_act,,At constant prices,Actual values,2004-12-01,78576.0,Constant,False,2004,12,2004Q4
con_seas,,At constant prices,Seasonally adjusted values,2004-12-01,57900.0,Constant,False,2004,12,2004Q4
cur_act,,At current prices,Actual values,2004-12-01,42117.0,Current,False,2004,12,2004Q4
cur_seas,,At current prices,Seasonally adjusted values,2004-12-01,31288.0,Current,False,2004,12,2004Q4
con_act,,At constant prices,Actual values,2005-01-01,52531.0,Constant,False,2005,1,2005Q1
con_seas,,At constant prices,Seasonally adjusted values,2005-01-01,56875.0,Constant,False,2005,1,2005Q1
cur_act,,At current prices,Actual values,2005-01-01,28209.0,Current,False,2005,1,2005Q1
cur_seas,,At current prices,Seasonally adjusted values,2005-01-01,30612.0,Current,False,2005,1,2005Q1
sales621C,General dealers,At current prices,Actual values,2005-01-01,11302.0,Current,False,2005,1,2005Q1
sales6220,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Actual values,2005-01-01,2669.0,Current,False,2005,1,2005Q1
sales6231,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Actual values,2005-01-01,1648.0,Current,False,2005,1,2005Q1
sales6232,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Actual values,2005-01-01,3926.0,Current,False,2005,1,2005Q1
sales6233,"Retailers in household furniture,appliances and equipment",At current prices,Actual values,2005-01-01,1854.0,Current,False,2005,1,2005Q1
sales6234,"Retailers in hardware,paint and glass",At current prices,Actual values,2005-01-01,2425.0,Current,False,2005,1,2005Q1
sales6239,All other retailers,At current prices,Actual values,2005-01-01,4385.0,Current,False,2005,1,2005Q1
sales621C_D11,General dealers,At current prices,Seasonally adjusted values,2005-01-01,12210.0,Current,True,2005,1,2005Q1
sales6220_D11,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Seasonally adjusted values,2005-01-01,2906.0,Current,True,2005,1,2005Q1
sales6231_D11,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Seasonally adjusted values,2005-01-01,1705.0,Current,True,2005,1,2005Q1
sales6232_D11,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Seasonally adjusted values,2005-01-01,4268.0,Current,True,2005,1,2005Q1
sales6233_D11,"Retailers in household furniture,appliances and equipment",At current prices,Seasonally adjusted values,2005-01-01,2062.0,Current,True,2005,1,2005Q1
sales6234_D11,"Retailers in hardware,paint and glass",At current prices,Seasonally adjusted values,2005-01-01,2839.0,Current,True,2005,1,2005Q1
sales6239_D11,All other retailers,At current prices,Seasonally adjusted values,2005-01-01,4623.0,Current,True,2005,1,2005Q1
con_act,,At constant prices,Actual values,2005-02-01,51976.0,Constant,False,2005,2,2005Q1
con_seas,,At constant prices,Seasonally adjusted values,2005-02-01,57026.0,Constant,False,2005,2,2005Q1
cur_act,,At current prices,Actual values,2005-02-01,27911.0,Current,False,2005,2,2005Q1
cur_seas,,At current prices,Seasonally adjusted values,2005-02-01,30587.0,Current,False,2005,2,2005Q1
sales621C,General dealers,At current prices,Actual values,2005-02-01,11126.0,Current,False,2005,2,2005Q1
sales6220,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Actual values,2005-02-01,2677.0,Current,False,2005,2,2005Q1
sales6231,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Actual values,2005-02-01,1708.0,Current,False,2005,2,2005Q1
sales6232,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Actual values,2005-02-01,3524.0,Current,False,2005,2,2005Q1
sales6233,"Retailers in household furniture,appliances and equipment",At current prices,Actual values,2005-02-01,1800.0,Current,False,2005,2,2005Q1
sales6234,"Retailers in hardware,paint and glass",At current prices,Actual values,2005-02-01,2657.0,Current,False,2005,2,2005Q1
sales6239,All other retailers,At current prices,Actual values,2005-02-01,4421.0,Current,False,2005,2,2005Q1
sales621C_D11,General dealers,At current prices,Seasonally adjusted values,2005-02-01,12060.0,Current,True,2005,2,2005Q1
sales6220_D11,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Seasonally adjusted values,2005-02-01,2952.0,Current,True,2005,2,2005Q1
sales6231_D11,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Seasonally adjusted values,2005-02-01,1757.0,Current,True,2005,2,2005Q1
sales6232_D11,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Seasonally adjusted values,2005-02-01,4320.0,Current,True,2005,2,2005Q1
sales6233_D11,"Retailers in household furniture,appliances and equipment",At current prices,Seasonally adjusted values,2005-02-01,2191.0,Current,True,2005,2,2005Q1
sales6234_D11,"Retailers in hardware,paint and glass",At current prices,Seasonally adjusted values,2005-02-01,2771.0,Current,True,2005,2,2005Q1
sales6239_D11,All other retailers,At current prices,Seasonally adjusted values,2005-02-01,4536.0,Current,True,2005,2,2005Q1
con_act,,At constant prices,Actual values,2005-03-01,55323.0,Constant,False,2005,3,2005Q1
con_seas,,At constant prices,Seasonally adjusted values,2005-03-01,56921.0,Constant,False,2005,3,2005Q1
cur_act,,At current prices,Actual values,2005-03-01,29819.0,Current,False,2005,3,2005Q1
cur_seas,,At current prices,Seasonally adjusted values,2005-03-01,31115.0,Current,False,2005,3,2005Q1
